City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dubbo,AU,-32.25,148.6167,66.33,42,40,18.41,scattered clouds
1,Atuona,PF,-9.8,-139.0333,77.76,78,54,19.17,broken clouds
2,Port Blair,IN,11.6667,92.75,81.77,83,100,12.53,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,37.06,75,75,16.11,broken clouds
4,Huarmey,PE,-10.0681,-78.1522,63.7,85,87,9.6,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,54.75,38,6,3.6,clear sky
6,Klaksvik,FO,62.2266,-6.589,52.72,94,100,30.2,overcast clouds
7,Kodiak,US,57.79,-152.4072,42.17,65,41,7.25,scattered clouds
8,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,85,20,6.91,few clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,70.43,80,100,26.6,overcast clouds
10,Hilo,US,19.7297,-155.09,82.13,83,75,11.5,broken clouds
11,Hobart,AU,-42.8794,147.3294,55.11,54,20,1.01,few clouds
12,Tevaitoa,PF,-16.7833,-151.5,79.23,72,1,8.1,clear sky
13,Rikitea,PF,-23.1203,-134.9692,73.78,76,95,16.17,overcast clouds
14,Lagoa,PT,39.05,-27.9833,69.91,84,100,7.25,overcast clouds
15,Pacifica,US,37.6138,-122.4869,67.71,86,20,1.01,few clouds
16,Ilulissat,GL,69.2167,-51.1,17.62,62,0,5.75,clear sky
17,Kempele,FI,64.9131,25.5034,44.62,93,90,3.44,overcast clouds
18,Aloleng,PH,16.1307,119.7824,84.67,68,5,3.29,clear sky
19,Tadine,NC,-21.55,167.8833,72.9,55,23,10.98,few clouds
20,Ancud,CL,-41.8697,-73.8203,40.53,68,4,6.42,clear sky
21,Fairview,US,40.8126,-73.999,67.23,74,1,0.0,clear sky
22,Korla,CN,41.7597,86.1469,63.05,24,6,1.32,clear sky
23,Chokurdakh,RU,70.6333,147.9167,33.31,98,100,13.0,light snow
24,Galeana,MX,24.8333,-100.0667,62.31,94,71,2.93,broken clouds
25,Sobolevo,RU,54.4299,31.8996,47.97,90,100,11.68,overcast clouds
26,San Patricio,US,28.017,-97.5169,77.85,57,10,7.65,clear sky
27,Fort Nelson,CA,58.8053,-122.7002,53.19,47,75,5.75,broken clouds
28,Saint Anthony,US,45.0205,-93.218,60.42,56,1,1.01,clear sky
29,Mae Sai,TH,20.4335,99.8762,74.52,96,91,1.79,overcast clouds
30,Upernavik,GL,72.7868,-56.1549,19.33,67,0,5.41,clear sky
31,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,13.8,light snow
32,Vostok,RU,46.4856,135.8833,61.81,52,31,1.95,scattered clouds
33,Shakawe,BW,-18.3667,21.85,62.46,16,0,4.97,clear sky
34,Mar Del Plata,AR,-38.0023,-57.5575,57.09,63,0,5.99,clear sky
35,Griffith,US,41.5284,-87.4237,66.06,46,40,1.01,scattered clouds
36,Kamen-Na-Obi,RU,53.7884,81.3423,34.5,76,97,12.95,overcast clouds
37,Cidreira,BR,-30.1811,-50.2056,62.85,91,1,9.57,clear sky
38,Mataura,NZ,-46.1927,168.8643,47.48,82,56,6.91,broken clouds
39,Castro,BR,-24.7911,-50.0119,58.64,91,13,5.28,few clouds
40,Yaan,NG,7.3833,8.5667,69.66,98,100,3.56,overcast clouds
41,Saint-Philippe,RE,-21.3585,55.7679,67.55,86,57,14.12,light rain
42,Vao,NC,-22.6667,167.4833,68.14,60,100,10.78,overcast clouds
43,Cherskiy,RU,68.75,161.3,33.13,97,100,13.29,light snow
44,College,US,64.8569,-147.8028,35.58,88,75,0.0,light snow
45,Neosho,US,36.869,-94.368,64.54,77,11,5.99,few clouds
46,Asau,RO,46.4333,26.4,54.75,85,0,5.3,clear sky
47,Albany,US,42.6001,-73.9662,60.58,89,100,1.81,overcast clouds
